,kinetics_class,original_score,perturbated_score
124,feeding fish,2.8598543e-10,1.6282179e-09
125,feeding goats,5.282692e-09,6.52896e-09
126,filling eyebrows,1.669296e-11,2.5435676e-12
127,finger snapping,6.4893596e-10,3.347108e-11
128,fixing hair,1.4594851e-09,4.8685047e-09
129,flipping pancake,3.874892e-10,9.052862e-10
130,flying kite,3.279749e-08,6.3901225e-06
131,folding clothes,4.482406e-12,3.9834944e-11
132,folding napkins,6.259887e-11,1.1595604e-09
133,folding paper,2.3043468e-11,1.627794e-11
134,front raises,4.8743405e-11,6.983074e-13
135,frying vegetables,4.7545648e-11,4.2721337e-11
136,garbage collecting,4.5546944e-09,1.2334537e-09
137,gargling,8.007174e-11,2.3425218e-11
138,getting a haircut,4.1631754e-10,4.5694167e-11
139,getting a tattoo,7.233485e-13,2.3281156e-12
140,giving or receiving award,2.9551922e-10,1.5416981e-09
141,golf chipping,3.0570535e-10,1.7738483e-12
142,golf driving,3.2993942e-08,2.1843587e-10
143,golf putting,8.1979384e-10,1.4012363e-09
144,grinding meat,2.4107663e-10,8.872439e-12
145,grooming dog,1.0474993e-08,2.2554276e-09
146,grooming horse,3.893428e-10,9.0279795e-10
147,gymnastics tumbling,1.7525047e-09,4.0403858e-08
148,hammer throw,1.5370205e-08,2.7386227e-11
149,headbanging,4.0990453e-10,7.192007e-11
150,headbutting,6.1857834e-09,1.5661138e-09
151,high jump,1.1218125e-09,3.977106e-09
152,high kick,5.415934e-10,9.090634e-10
153,hitting baseball,5.632402e-09,5.7613084e-11
154,hockey stop,1.6431395e-08,1.2625267e-08
155,holding snake,4.881479e-10,8.3098767e-10
156,hopscotch,1.3941978e-08,2.4229406e-08
157,hoverboarding,6.464008e-07,4.514216e-06
158,hugging,8.825255e-09,4.6491584e-09
159,hula hooping,6.755593e-10,1.8761265e-10
160,hurdling,2.070469e-09,1.9782587e-09
161,hurling (sport),4.5973596e-08,4.1608528e-10
162,ice climbing,7.6855276e-12,1.1461561e-09
163,ice fishing,7.508279e-12,3.379346e-09
164,ice skating,6.8306456e-08,2.3896266e-05
165,ironing,1.3247873e-08,4.4839844e-08
166,javelin throw,1.8350774e-07,4.323948e-09
167,jetskiing,1.0744333e-10,3.3582384e-09
168,jogging,9.913676e-07,2.499796e-08
169,juggling balls,4.0372377e-09,2.767928e-09
170,juggling fire,5.825729e-10,1.7303619e-09
171,juggling soccer ball,1.6631313e-10,2.9048317e-10
172,jumping into pool,1.4202567e-08,6.455807e-07
173,jumpstyle dancing,2.2213256e-10,5.537184e-11
