,imagenet_class,original_score,perturbated_score
96,toucan,4.0935305e-08,1.7701124e-05
97,drake,2.8656375e-08,3.0115207e-06
98,"red-breasted merganser, Mergus serrator",3.0334782e-08,2.9613062e-05
99,goose,4.8535536e-08,5.8503974e-06
100,"black swan, Cygnus atratus",3.9154484e-09,1.0821811e-07
101,tusker,1.5229548e-10,8.279087e-10
102,"echidna, spiny anteater, anteater",4.748166e-10,4.9275264e-09
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",1.6241994e-08,1.9494545e-08
104,"wallaby, brush kangaroo",6.624829e-08,6.0760726e-07
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",8.722802e-08,3.4379084e-09
106,wombat,3.5969684e-08,2.0451393e-08
107,jellyfish,4.3314854e-09,3.204813e-09
108,"sea anemone, anemone",5.9121223e-09,2.5539073e-08
109,brain coral,2.5398832e-09,2.5275144e-09
110,"flatworm, platyhelminth",1.0384513e-08,3.294455e-07
111,"nematode, nematode worm, roundworm",7.802722e-09,2.379508e-09
112,conch,4.4453398e-07,3.9428915e-08
113,snail,4.264172e-08,1.1163288e-07
114,slug,1.6459456e-08,5.610918e-07
115,"sea slug, nudibranch",2.8011657e-09,3.4124884e-07
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",1.3310416e-09,1.7581571e-09
117,"chambered nautilus, pearly nautilus, nautilus",6.180478e-07,1.107067e-07
118,"Dungeness crab, Cancer magister",1.1861584e-09,4.6309853e-10
119,"rock crab, Cancer irroratus",3.626753e-10,1.6934733e-08
120,fiddler crab,5.0484616e-10,6.464227e-09
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",2.7422994e-10,1.7333467e-10
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",2.6482083e-09,1.4284477e-09
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1.0854739e-09,1.133371e-09
124,"crayfish, crawfish, crawdad, crawdaddy",8.674169e-09,6.694457e-08
125,hermit crab,1.0656435e-08,1.9085415e-09
126,isopod,3.856032e-09,7.0553274e-09
127,"white stork, Ciconia ciconia",4.3660883e-10,6.695887e-08
128,"black stork, Ciconia nigra",1.1670027e-09,5.180587e-07
129,spoonbill,2.3995575e-10,9.361795e-09
130,flamingo,9.1315105e-10,2.70864e-09
131,"little blue heron, Egretta caerulea",2.940577e-10,2.2309461e-08
132,"American egret, great white heron, Egretta albus",3.9973522e-09,3.8989815e-06
133,bittern,7.927275e-09,4.7363977e-07
134,crane,7.63888e-10,2.807711e-07
135,"limpkin, Aramus pictus",1.4240058e-10,5.1196354e-09
136,"European gallinule, Porphyrio porphyrio",2.4196392e-08,2.541185e-07
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",9.318066e-09,6.529954e-07
138,bustard,2.260576e-08,9.392251e-06
139,"ruddy turnstone, Arenaria interpres",7.6085115e-08,1.1347581e-06
140,"red-backed sandpiper, dunlin, Erolia alpina",2.1238891e-07,5.0049715e-07
141,"redshank, Tringa totanus",3.2617473e-09,3.2648074e-07
142,dowitcher,1.2246143e-09,1.1579606e-08
143,"oystercatcher, oyster catcher",4.353675e-09,3.3506833e-06
144,pelican,1.250637e-08,3.4568157e-07
145,"king penguin, Aptenodytes patagonica",4.7274256e-07,0.987672
146,"albatross, mollymawk",3.459303e-08,0.00027294926
