,kinetics_class,original_score,perturbated_score
125,feeding goats,3.6912397e-07,4.274808e-10
126,filling eyebrows,5.3821245e-09,8.353117e-09
127,finger snapping,1.2087439e-05,0.00020695334
128,fixing hair,1.9430554e-05,2.7398614e-06
129,flipping pancake,2.2585109e-05,2.376833e-06
130,flying kite,9.337269e-06,2.555185e-07
131,folding clothes,2.4913124e-06,5.031928e-08
132,folding napkins,1.09975964e-07,8.784689e-08
133,folding paper,9.143126e-08,2.4524093e-07
134,front raises,1.141606e-06,5.074822e-07
135,frying vegetables,1.2767639e-08,6.1417706e-09
136,garbage collecting,9.0662263e-07,1.7870384e-07
137,gargling,1.1518574e-08,2.520973e-08
138,getting a haircut,0.00023260264,1.685325e-05
139,getting a tattoo,3.4785724e-05,3.0374817e-05
140,giving or receiving award,2.632716e-06,9.845382e-09
141,golf chipping,1.8141031e-09,1.2448601e-08
142,golf driving,2.9050241e-08,4.921341e-07
143,golf putting,3.261811e-08,1.8952701e-07
144,grinding meat,4.6683915e-08,7.963291e-09
145,grooming dog,3.8894586e-06,6.015978e-08
146,grooming horse,1.398927e-07,6.3662026e-10
147,gymnastics tumbling,6.6380126e-05,5.327173e-06
148,hammer throw,5.00166e-10,1.4775273e-08
149,headbanging,1.2786321e-06,1.06654925e-05
150,headbutting,0.0006173672,0.00027488836
151,high jump,8.630496e-05,1.1629219e-06
152,high kick,0.0010750223,2.9737672e-05
153,hitting baseball,1.0626715e-05,3.8937927e-07
154,hockey stop,3.9621882e-05,2.635906e-05
155,holding snake,2.3367907e-05,1.7525968e-08
156,hopscotch,2.4253912e-05,6.790827e-06
157,hoverboarding,0.000349273,0.00030328057
158,hugging,1.0440993e-05,7.6341087e-07
159,hula hooping,5.7122556e-06,2.826063e-06
160,hurdling,5.1285997e-06,1.228784e-07
161,hurling (sport),5.0220173e-08,1.03399024e-07
162,ice climbing,6.9769496e-10,1.5015901e-09
163,ice fishing,5.091025e-07,1.2391132e-08
164,ice skating,2.3229039e-05,3.1709653e-06
165,ironing,1.4708111e-06,5.447442e-06
166,javelin throw,4.403172e-09,5.246095e-09
167,jetskiing,2.0023174e-07,3.6623945e-08
168,jogging,1.5298298e-05,1.5738909e-06
169,juggling balls,1.5587657e-05,6.8998226e-05
170,juggling fire,1.3254738e-06,3.0588828e-05
171,juggling soccer ball,6.637917e-05,0.00020683673
172,jumping into pool,3.6939193e-07,3.6585124e-08
173,jumpstyle dancing,2.1594722e-05,0.005291282
174,kicking field goal,2.5381377e-07,1.2235465e-07
175,kicking soccer ball,0.00036322075,1.2310562e-05
176,kissing,6.4884176e-07,5.309344e-08
