,imagenet_class,original_score,perturbated_score
96,toucan,7.4195823e-09,6.13282e-08
97,drake,4.792008e-08,7.376337e-07
98,"red-breasted merganser, Mergus serrator",6.9069532e-09,2.8145818e-08
99,goose,2.3678515e-06,8.365406e-05
100,"black swan, Cygnus atratus",9.895159e-07,1.2128652e-06
101,tusker,3.416167e-08,3.931908e-07
102,"echidna, spiny anteater, anteater",7.991628e-10,1.4257543e-08
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",4.167045e-09,4.5507045e-07
104,"wallaby, brush kangaroo",1.5379145e-08,1.1773201e-09
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1.7631697e-09,8.195531e-08
106,wombat,3.971492e-09,3.4505292e-09
107,jellyfish,2.7507744e-08,1.4130241e-07
108,"sea anemone, anemone",6.727255e-09,8.702022e-09
109,brain coral,6.461452e-08,3.355423e-08
110,"flatworm, platyhelminth",1.1296559e-09,1.4389057e-08
111,"nematode, nematode worm, roundworm",4.068272e-09,5.302839e-08
112,conch,3.3847172e-08,1.1437197e-08
113,snail,1.1885397e-08,8.6108626e-10
114,slug,2.737082e-09,6.230322e-09
115,"sea slug, nudibranch",1.3593129e-09,2.5283982e-09
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",4.477917e-09,8.025161e-11
117,"chambered nautilus, pearly nautilus, nautilus",1.5031706e-09,4.175541e-08
118,"Dungeness crab, Cancer magister",1.5138113e-08,1.655275e-10
119,"rock crab, Cancer irroratus",6.281959e-09,3.939602e-11
120,fiddler crab,3.62699e-10,6.559998e-11
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",1.0344841e-08,4.3491377e-11
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",3.82017e-09,8.4257754e-11
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",4.087242e-09,5.2636745e-10
124,"crayfish, crawfish, crawdad, crawdaddy",2.5041308e-08,9.879904e-09
125,hermit crab,8.743072e-09,2.6501985e-09
126,isopod,1.7609388e-08,1.0072775e-07
127,"white stork, Ciconia ciconia",5.217301e-06,1.0770957e-06
128,"black stork, Ciconia nigra",2.7091968e-08,2.641031e-08
129,spoonbill,1.3659142e-07,1.6431583e-06
130,flamingo,5.990256e-08,1.1898045e-06
131,"little blue heron, Egretta caerulea",7.0026914e-08,6.7367814e-06
132,"American egret, great white heron, Egretta albus",1.650752e-06,8.2461065e-06
133,bittern,4.9728808e-09,2.618275e-08
134,crane,3.9834336e-07,6.802104e-05
135,"limpkin, Aramus pictus",8.172227e-09,1.3819437e-08
136,"European gallinule, Porphyrio porphyrio",1.4573407e-08,1.46728e-08
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",7.6401584e-08,1.5487983e-07
138,bustard,2.6865905e-09,7.01823e-06
139,"ruddy turnstone, Arenaria interpres",3.2059553e-08,2.5494877e-09
140,"red-backed sandpiper, dunlin, Erolia alpina",2.0692532e-08,4.463976e-07
141,"redshank, Tringa totanus",1.8338827e-08,8.67405e-09
142,dowitcher,7.662307e-09,4.0138975e-10
143,"oystercatcher, oyster catcher",6.558665e-07,4.9393942e-09
144,pelican,5.258915e-07,0.00017398795
145,"king penguin, Aptenodytes patagonica",4.452081e-08,2.8524373e-06
146,"albatross, mollymawk",1.5586287e-06,2.3244633e-05
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",2.3882316e-07,9.690257e-08
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",8.198049e-09,4.10958e-09
149,"dugong, Dugong dugon",2.5259516e-07,2.183502e-05
150,sea lion,6.599357e-08,1.0986287e-06
151,Chihuahua,2.8822194e-07,1.1797271e-06
152,Japanese spaniel,1.5947871e-06,1.1583857e-07
153,"Maltese dog, Maltese terrier, Maltese",7.0028177e-06,6.9373914e-06
154,"Pekinese, Pekingese, Peke",3.5939943e-06,9.3542764e-07
155,Shih-Tzu,5.513309e-07,2.306176e-07
156,Blenheim spaniel,3.054039e-07,1.12971655e-07
157,papillon,5.3431114e-07,2.3107366e-06
158,toy terrier,2.46581e-07,1.8288995e-07
159,Rhodesian ridgeback,1.6539367e-06,6.3017676e-09
160,"Afghan hound, Afghan",1.41581e-06,5.0162625e-06
161,"basset, basset hound",4.5034444e-06,3.9743728e-07
162,beagle,1.5935572e-06,2.1566518e-07
163,"bloodhound, sleuthhound",5.6522435e-06,3.1800393e-08
164,bluetick,4.0047244e-06,3.4577454e-06
165,black-and-tan coonhound,1.385293e-07,1.34670355e-08
166,"Walker hound, Walker foxhound",2.188174e-06,4.3513705e-07
167,English foxhound,3.4253962e-06,3.7605126e-08
168,redbone,1.2983669e-06,7.0429067e-09
169,"borzoi, Russian wolfhound",8.3288985e-05,8.8021525e-06
170,Irish wolfhound,9.9453886e-05,1.1076423e-06
171,Italian greyhound,4.5428877e-08,2.5054958e-06
172,whippet,5.9351686e-07,7.767806e-06
173,"Ibizan hound, Ibizan Podenco",9.012263e-06,9.61995e-07
174,"Norwegian elkhound, elkhound",1.1728072e-05,1.2023521e-07
175,"otterhound, otter hound",0.00011859775,2.727473e-07
176,"Saluki, gazelle hound",2.3884983e-05,5.2902647e-05
177,"Scottish deerhound, deerhound",5.7904945e-06,4.6611632e-07
178,Weimaraner,1.3653649e-05,1.1398515e-05
179,"Staffordshire bullterrier, Staffordshire bull terrier",5.9806603e-06,1.9598879e-07
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",5.9248455e-06,8.102456e-07
181,Bedlington terrier,2.1668897e-05,9.836528e-05
182,Border terrier,6.985196e-06,9.4619004e-08
