,imagenet_class,original_score,perturbated_score
96,toucan,7.830713e-08,2.0701547e-05
97,drake,1.784722e-09,5.852785e-07
98,"red-breasted merganser, Mergus serrator",2.270338e-08,4.524975e-06
99,goose,2.9568334e-09,5.623653e-07
100,"black swan, Cygnus atratus",1.1470389e-08,4.50259e-06
101,tusker,7.0613964e-08,1.0125033e-05
102,"echidna, spiny anteater, anteater",1.6650392e-09,9.937368e-07
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",1.768285e-09,1.2691453e-05
104,"wallaby, brush kangaroo",1.8542261e-08,6.6838256e-06
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3.9109493e-09,3.5684418e-06
106,wombat,3.5499887e-08,8.947556e-06
107,jellyfish,3.497232e-08,6.6705043e-06
108,"sea anemone, anemone",9.251126e-10,3.7030642e-07
109,brain coral,4.2637748e-08,6.633756e-07
110,"flatworm, platyhelminth",2.8458197e-10,1.5149764e-07
111,"nematode, nematode worm, roundworm",4.553551e-07,1.848708e-05
112,conch,2.875128e-07,8.980597e-06
113,snail,1.9967896e-09,2.6088485e-06
114,slug,1.6897225e-08,6.3076213e-06
115,"sea slug, nudibranch",1.965076e-08,9.444227e-07
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",8.11853e-10,3.2079973e-07
117,"chambered nautilus, pearly nautilus, nautilus",7.506451e-10,4.1312595e-07
118,"Dungeness crab, Cancer magister",1.20737145e-08,1.4116791e-06
119,"rock crab, Cancer irroratus",8.381075e-08,4.669697e-07
120,fiddler crab,3.2225138e-08,3.4009063e-06
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",5.226378e-08,8.6006486e-07
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",2.2787447e-07,3.5531268e-06
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",8.4437835e-07,2.8308764e-06
124,"crayfish, crawfish, crawdad, crawdaddy",1.7317129e-06,5.7938096e-06
125,hermit crab,8.471801e-08,1.0068695e-05
126,isopod,3.1450063e-09,8.94669e-07
127,"white stork, Ciconia ciconia",1.3614678e-07,1.9044833e-06
128,"black stork, Ciconia nigra",4.6217117e-08,2.4273745e-06
129,spoonbill,5.5840857e-08,2.3872133e-06
130,flamingo,1.234834e-09,1.4043147e-07
131,"little blue heron, Egretta caerulea",1.2330737e-07,4.2813213e-06
132,"American egret, great white heron, Egretta albus",3.063961e-08,1.6336021e-06
133,bittern,1.9605798e-08,2.0781481e-07
134,crane,1.7810402e-08,7.9034265e-07
135,"limpkin, Aramus pictus",3.4503223e-08,4.0221366e-06
136,"European gallinule, Porphyrio porphyrio",1.0140462e-07,9.590487e-06
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",1.5900683e-08,4.256402e-06
138,bustard,3.8269814e-09,1.5305747e-07
139,"ruddy turnstone, Arenaria interpres",2.42115e-08,2.42502e-07
140,"red-backed sandpiper, dunlin, Erolia alpina",1.5769725e-08,6.2124695e-07
141,"redshank, Tringa totanus",4.4655073e-07,1.5331467e-06
142,dowitcher,1.7114283e-08,1.9089447e-07
143,"oystercatcher, oyster catcher",3.1465126e-07,1.1990093e-06
144,pelican,4.0650454e-07,1.2512923e-05
145,"king penguin, Aptenodytes patagonica",6.152693e-07,5.980933e-05
146,"albatross, mollymawk",9.914273e-08,2.0345187e-06
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",8.5363574e-08,6.000875e-06
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",2.6484446e-07,2.4127849e-05
149,"dugong, Dugong dugon",4.224681e-09,1.1510697e-06
150,sea lion,1.3498818e-06,4.2743024e-05
151,Chihuahua,9.432158e-08,4.153893e-05
152,Japanese spaniel,7.3816535e-09,2.2820368e-06
153,"Maltese dog, Maltese terrier, Maltese",4.9138873e-08,1.9094656e-05
154,"Pekinese, Pekingese, Peke",1.8638673e-08,2.3793818e-05
155,Shih-Tzu,4.0266254e-08,2.4908852e-05
156,Blenheim spaniel,4.7436192e-08,3.8039154e-06
157,papillon,2.5904002e-08,5.5706255e-06
158,toy terrier,7.0558857e-09,2.6321275e-06
159,Rhodesian ridgeback,2.0100158e-08,1.7914713e-06
