,imagenet_class,original_score,perturbated_score
96,toucan,7.65782e-08,1.6713685e-06
97,drake,1.7985791e-06,1.0321957e-06
98,"red-breasted merganser, Mergus serrator",3.921137e-06,1.9656873e-06
99,goose,3.4468346e-06,1.416901e-06
100,"black swan, Cygnus atratus",8.0993395e-06,1.7121091e-06
101,tusker,2.191657e-07,1.9558754e-06
102,"echidna, spiny anteater, anteater",5.6069935e-09,6.8103645e-07
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",1.8559978e-06,5.0264416e-06
104,"wallaby, brush kangaroo",8.988882e-08,5.236426e-06
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1.526836e-08,1.1314343e-06
106,wombat,9.152331e-09,1.8779959e-07
107,jellyfish,1.3195412e-07,9.014471e-06
108,"sea anemone, anemone",8.69151e-08,1.8802817e-06
109,brain coral,7.202483e-07,2.718978e-06
110,"flatworm, platyhelminth",2.8134977e-08,1.3671405e-07
111,"nematode, nematode worm, roundworm",9.1201855e-08,9.849056e-07
112,conch,8.982135e-07,5.3950844e-06
113,snail,8.858e-08,3.528433e-07
114,slug,1.1783783e-07,8.6620196e-07
115,"sea slug, nudibranch",1.14108595e-07,9.150522e-07
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",6.274163e-08,1.3035758e-07
117,"chambered nautilus, pearly nautilus, nautilus",3.2765385e-08,2.8357866e-07
118,"Dungeness crab, Cancer magister",1.2594501e-07,2.583968e-06
119,"rock crab, Cancer irroratus",9.529385e-08,2.435544e-07
120,fiddler crab,1.0985767e-07,7.812114e-07
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",4.4379615e-08,1.3154302e-06
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",1.8684891e-07,3.1966676e-06
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",7.852365e-08,2.011473e-06
124,"crayfish, crawfish, crawdad, crawdaddy",1.3560891e-07,3.319485e-06
125,hermit crab,6.0816574e-09,1.13289026e-07
126,isopod,1.1817421e-07,4.844887e-07
127,"white stork, Ciconia ciconia",4.8504706e-08,2.7343367e-07
128,"black stork, Ciconia nigra",1.0353957e-07,1.8887995e-07
129,spoonbill,7.7428035e-07,1.3553421e-06
130,flamingo,5.1165387e-07,1.5962614e-06
131,"little blue heron, Egretta caerulea",1.7230303e-06,3.3613503e-06
132,"American egret, great white heron, Egretta albus",3.6549154e-06,1.012645e-05
133,bittern,1.2684254e-07,3.7774643e-07
134,crane,1.2314694e-06,1.6634862e-06
135,"limpkin, Aramus pictus",6.202867e-07,2.6018533e-06
136,"European gallinule, Porphyrio porphyrio",5.9647705e-06,4.938679e-06
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",3.4422292e-06,2.2121712e-06
138,bustard,3.7763545e-08,2.3164844e-07
139,"ruddy turnstone, Arenaria interpres",2.341593e-07,2.4805746e-07
140,"red-backed sandpiper, dunlin, Erolia alpina",8.069622e-07,1.1350515e-06
141,"redshank, Tringa totanus",1.7496651e-06,6.6741893e-07
142,dowitcher,7.918305e-07,5.313136e-07
143,"oystercatcher, oyster catcher",3.5322284e-07,2.3760272e-07
144,pelican,3.01665e-06,9.897876e-07
145,"king penguin, Aptenodytes patagonica",1.223711e-06,2.3328137e-06
146,"albatross, mollymawk",1.14452114e-07,1.4689884e-07
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",5.7187244e-06,1.516389e-06
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",0.00048834976,0.00021008962
149,"dugong, Dugong dugon",1.529538e-06,2.640826e-06
150,sea lion,5.6288158e-05,3.0735002e-05
151,Chihuahua,1.6916782e-07,8.510695e-06
152,Japanese spaniel,2.9316634e-08,6.901922e-07
153,"Maltese dog, Maltese terrier, Maltese",5.411878e-07,7.743639e-06
154,"Pekinese, Pekingese, Peke",3.3660125e-08,2.0637783e-06
155,Shih-Tzu,1.17992904e-07,6.564481e-06
156,Blenheim spaniel,8.137137e-08,2.730479e-06
157,papillon,1.1544332e-07,6.1553656e-06
158,toy terrier,3.6281953e-08,1.4190621e-06
159,Rhodesian ridgeback,1.2535963e-07,9.769743e-07
160,"Afghan hound, Afghan",4.557308e-08,2.5330373e-06
161,"basset, basset hound",7.2522155e-08,3.3756423e-06
162,beagle,2.9983823e-08,2.4454298e-06
163,"bloodhound, sleuthhound",4.0745384e-08,6.251884e-07
164,bluetick,6.0404966e-07,5.8257438e-06
165,black-and-tan coonhound,5.624981e-08,2.1242738e-06
166,"Walker hound, Walker foxhound",1.0535334e-08,3.750095e-07
167,English foxhound,3.8431978e-08,1.7127893e-07
168,redbone,3.5310597e-07,6.8597974e-06
169,"borzoi, Russian wolfhound",1.2048017e-07,2.537157e-06
170,Irish wolfhound,1.6578748e-07,2.9599862e-06
171,Italian greyhound,1.1131453e-07,5.8363707e-06
172,whippet,1.15618064e-07,3.5670998e-06
173,"Ibizan hound, Ibizan Podenco",1.703446e-07,1.3998463e-06
174,"Norwegian elkhound, elkhound",1.2235388e-07,9.719245e-07
175,"otterhound, otter hound",8.400082e-08,7.1773286e-07
176,"Saluki, gazelle hound",1.3323786e-07,1.5023616e-06
177,"Scottish deerhound, deerhound",7.5966585e-07,1.159275e-05
178,Weimaraner,7.5106396e-07,1.0033904e-05
179,"Staffordshire bullterrier, Staffordshire bull terrier",7.0421585e-08,7.0725264e-07
