,kinetics_class,original_score,perturbated_score
124,feeding fish,4.2669557e-10,5.4622415e-08
125,feeding goats,2.1334252e-09,5.545043e-08
126,filling eyebrows,2.432987e-10,1.0492594e-08
127,finger snapping,8.0992715e-09,8.775511e-08
128,fixing hair,1.5422243e-09,1.487772e-07
129,flipping pancake,4.558896e-09,1.1781132e-08
130,flying kite,1.2382637e-05,7.5675154e-05
131,folding clothes,3.5142344e-11,9.114972e-10
132,folding napkins,1.3868084e-10,2.6285354e-09
133,folding paper,9.249019e-10,1.1208594e-09
134,front raises,5.046004e-10,3.5141168e-09
135,frying vegetables,7.469411e-10,1.7610725e-10
136,garbage collecting,4.216e-09,4.8762004e-08
137,gargling,1.4422183e-09,1.2847044e-08
138,getting a haircut,5.9564374e-11,8.5264945e-10
139,getting a tattoo,1.0979045e-12,4.8601595e-10
140,giving or receiving award,5.2701457e-09,9.246715e-08
141,golf chipping,5.080333e-07,1.5148279e-06
142,golf driving,7.0672385e-08,1.8264661e-06
143,golf putting,2.7004912e-08,8.497321e-06
144,grinding meat,4.0874602e-11,2.7926267e-10
145,grooming dog,2.362021e-10,2.0028639e-09
146,grooming horse,1.0822668e-09,6.6099966e-07
147,gymnastics tumbling,5.019097e-07,6.633394e-07
148,hammer throw,0.00050016015,4.5807096e-06
149,headbanging,3.0102474e-09,1.991403e-08
150,headbutting,1.6125245e-08,6.6168207e-07
151,high jump,0.00010585235,3.9983446e-05
152,high kick,6.819692e-07,4.7600643e-08
153,hitting baseball,1.1981489e-05,6.0557042e-05
154,hockey stop,4.113367e-09,0.00463783
155,holding snake,2.4178655e-09,4.4098023e-08
156,hopscotch,6.955906e-08,1.1025443e-06
157,hoverboarding,1.5891787e-08,0.00014695118
158,hugging,2.9034883e-08,3.117172e-06
159,hula hooping,1.5791382e-08,1.831357e-08
160,hurdling,0.00028261179,0.00041839064
161,hurling (sport),4.0094437e-06,0.0002575969
162,ice climbing,4.7018184e-12,4.081054e-08
163,ice fishing,1.4158504e-10,5.8892715e-07
164,ice skating,8.7759733e-10,0.94105107
165,ironing,1.9318892e-10,8.4942826e-08
166,javelin throw,0.98925203,0.0004894502
167,jetskiing,5.8327077e-09,2.5681488e-06
168,jogging,7.2342605e-06,0.0001761404
169,juggling balls,4.8702148e-08,2.1808725e-07
170,juggling fire,9.968014e-09,1.9186535e-07
171,juggling soccer ball,2.3994742e-06,1.880165e-06
172,jumping into pool,1.01151425e-08,7.0215174e-07
173,jumpstyle dancing,2.738903e-08,1.8190863e-07
174,kicking field goal,8.863513e-05,5.6794806e-06
175,kicking soccer ball,1.7690143e-05,5.932055e-05
176,kissing,1.9922723e-09,3.571959e-07
177,kitesurfing,1.0185182e-09,3.8983995e-07
178,knitting,1.0017909e-09,3.097827e-09
179,krumping,5.586888e-10,1.0687096e-09
180,laughing,1.956969e-08,4.9382714e-07
181,laying bricks,4.045787e-10,2.1098407e-09
182,long jump,0.0056095445,9.7766875e-05
183,lunge,3.9099255e-08,9.336099e-09
184,making a cake,4.1110533e-09,1.5519648e-09
185,making a sandwich,1.3823328e-09,3.9436037e-09
186,making bed,6.741345e-11,1.4715928e-08
187,making jewelry,7.3784207e-10,2.3008762e-09
188,making pizza,1.2281457e-09,1.2031656e-08
189,making snowman,2.0737483e-11,2.324422e-07
190,making sushi,2.4873273e-10,7.374254e-10
191,making tea,3.716172e-10,3.5533159e-09
192,marching,6.555178e-08,4.1934115e-07
193,massaging back,5.3383004e-10,2.3110054e-09
194,massaging feet,4.8424292e-11,5.13822e-10
195,massaging legs,6.514672e-11,1.3942376e-09
196,massaging person's head,3.9578596e-10,7.5050544e-10
197,milking cow,1.7434683e-08,3.4563638e-07
198,mopping floor,9.3963316e-11,3.2799885e-08
199,motorcycling,1.8015923e-09,3.980981e-06
200,moving furniture,7.758564e-10,2.0365825e-07
201,mowing lawn,1.8957106e-08,8.4020336e-08
202,news anchoring,1.6469212e-08,1.7088179e-07
203,opening bottle,9.453249e-10,4.188549e-08
204,opening present,5.2376724e-11,9.0063057e-10
205,paragliding,4.5453765e-09,2.5079626e-07
206,parasailing,5.7778564e-08,3.0770857e-06
207,parkour,8.189872e-08,1.00862e-05
208,passing American football (in game),7.0882415e-05,7.5779253e-06
209,passing American football (not in game),1.2118643e-05,5.0123344e-06
210,peeling apples,1.3108075e-09,7.9428997e-10
211,peeling potatoes,9.583581e-10,3.0095464e-09
212,petting animal (not cat),2.8408405e-09,5.4868426e-08
213,petting cat,1.1203658e-09,3.3371275e-09
214,picking fruit,7.590916e-10,4.6196775e-09
215,planting trees,1.4321725e-08,3.862479e-08
216,plastering,2.4558933e-10,1.2988501e-07
217,playing accordion,1.954043e-10,1.8314024e-08
218,playing badminton,4.2135302e-06,0.00089532294
219,playing bagpipes,3.1331366e-09,3.5139158e-07
220,playing basketball,1.015133e-07,1.2038818e-06
221,playing bass guitar,1.04702566e-10,6.6425345e-09
222,playing cards,1.5152837e-11,1.3888524e-09
223,playing cello,3.618196e-11,1.03906714e-07
224,playing chess,1.9835666e-09,3.689401e-08
225,playing clarinet,7.731984e-11,1.5760897e-08
226,playing controller,1.783066e-10,3.7104908e-10
227,playing cricket,8.1821396e-05,0.0027870655
228,playing cymbals,4.5558768e-10,2.4108298e-08
229,playing didgeridoo,6.1797584e-10,6.2994454e-09
230,playing drums,1.969362e-09,1.1587006e-08
231,playing flute,7.567285e-09,1.8945853e-07
232,playing guitar,7.3555867e-10,1.9538479e-07
233,playing harmonica,3.2179073e-10,7.94695e-09
234,playing harp,1.2477307e-10,3.4290952e-08
235,playing ice hockey,1.5097205e-09,0.018763017
236,playing keyboard,1.1692033e-09,1.0399445e-09
237,playing kickball,5.3029118e-05,0.00013552193
238,playing monopoly,1.0765209e-09,2.9745367e-08
239,playing organ,2.0146051e-11,1.4757288e-10
240,playing paintball,2.8740954e-10,1.9862478e-06
241,playing piano,2.1904245e-10,1.9754056e-07
242,playing poker,3.1696984e-10,1.0845677e-07
243,playing recorder,4.437823e-09,1.9781004e-08
244,playing saxophone,1.1349455e-10,2.3076149e-08
245,playing squash or racquetball,2.5007648e-07,2.1511645e-05
246,playing tennis,0.000115985415,0.005335768
247,playing trombone,1.5285664e-08,5.1045174e-07
248,playing trumpet,1.7192847e-09,2.6865115e-08
249,playing ukulele,4.3059973e-09,6.2991696e-09
250,playing violin,5.1751337e-10,1.16157004e-07
251,playing volleyball,2.8029883e-06,7.254671e-05
252,playing xylophone,1.1718556e-09,2.333751e-09
253,pole vault,3.270861e-05,1.052335e-06
254,presenting weather forecast,8.002114e-10,2.5638525e-09
255,pull ups,2.5616547e-08,7.090527e-08
256,pumping fist,3.626243e-08,1.6578842e-06
257,pumping gas,1.8044939e-10,7.358606e-09
258,punching bag,1.4852963e-10,3.418397e-09
259,punching person (boxing),8.774362e-11,1.22082895e-08
260,push up,1.119324e-08,3.248956e-08
261,pushing car,8.509718e-09,1.4755601e-06
262,pushing cart,1.4188958e-08,6.324026e-06
263,pushing wheelchair,1.4646785e-09,1.2234701e-06
264,reading book,3.6831901e-10,6.6522716e-09
265,reading newspaper,1.3610783e-09,2.1857427e-07
266,recording music,2.1980175e-09,1.09483196e-07
267,riding a bike,9.489451e-10,2.8982565e-06
268,riding camel,1.8349577e-09,4.744262e-06
269,riding elephant,5.1422305e-10,1.5230201e-07
270,riding mechanical bull,2.1836709e-10,1.4283494e-09
271,riding mountain bike,1.1771846e-10,8.749122e-08
272,riding mule,1.8930575e-09,9.596498e-07
273,riding or walking with horse,7.643697e-07,0.00038701823
274,riding scooter,1.3459193e-09,0.00012594911
275,riding unicycle,7.891702e-08,0.00013417177
276,ripping paper,1.8546967e-10,1.4261309e-09
277,robot dancing,2.01367e-09,8.487784e-09
278,rock climbing,1.1243898e-10,6.809844e-09
279,rock scissors paper,2.1353224e-09,2.5587829e-08
280,roller skating,2.5369637e-08,0.017840886
281,running on treadmill,7.8929724e-10,4.9117808e-09
282,sailing,1.4185154e-10,1.4789426e-08
283,salsa dancing,1.1911926e-10,1.4981313e-09
284,sanding floor,5.388965e-12,2.102843e-08
285,scrambling eggs,1.8504539e-09,1.8094263e-09
286,scuba diving,2.0455122e-10,3.6233317e-08
287,setting table,4.226545e-10,1.01808396e-07
288,shaking hands,9.068314e-09,1.4866997e-07
289,shaking head,2.2755156e-09,2.8203755e-07
290,sharpening knives,1.7978315e-11,1.03935104e-10
291,sharpening pencil,3.368301e-10,1.3980322e-09
292,shaving head,5.546678e-10,4.680547e-09
293,shaving legs,4.9924415e-10,5.4448988e-09
294,shearing sheep,6.782103e-10,1.2993971e-08
295,shining shoes,4.416632e-11,2.810454e-09
296,shooting basketball,3.0879715e-08,4.2299095e-07
297,shooting goal (soccer),0.00012856354,0.0036019012
298,shot put,0.00019103895,1.2496049e-06
299,shoveling snow,7.4092024e-11,5.85261e-07
300,shredding paper,3.8395367e-10,2.3014587e-10
301,shuffling cards,3.115049e-11,3.910706e-09
302,side kick,2.3683212e-08,2.2428745e-07
303,sign language interpreting,4.5117401e-10,4.421868e-10
304,singing,3.1151353e-09,1.4526094e-07
305,situp,3.99255e-09,2.0754248e-08
306,skateboarding,2.6426972e-09,0.00021789633
307,ski jumping,5.251462e-09,1.8465878e-05
308,skiing (not slalom or crosscountry),7.8276635e-11,8.864884e-06
309,skiing crosscountry,1.1621116e-08,0.00044949353
310,skiing slalom,3.6927708e-10,9.678953e-05
311,skipping rope,1.3990369e-07,1.2939882e-06
312,skydiving,4.054874e-09,3.5328432e-07
313,slacklining,3.010509e-07,1.5859936e-07
314,slapping,1.0599973e-08,4.9192295e-07
315,sled dog racing,3.3749828e-10,7.882727e-06
316,smoking,1.8665758e-09,4.6183382e-07
317,smoking hookah,4.343798e-11,6.752366e-09
318,snatch weight lifting,8.233927e-09,3.0081704e-08
319,sneezing,2.0011268e-09,1.374186e-07
320,sniffing,5.340238e-09,1.3326107e-07
321,snorkeling,1.001268e-08,3.5299303e-07
322,snowboarding,1.0205376e-11,4.6153975e-05
323,snowkiting,2.85801e-12,1.2112546e-06
324,snowmobiling,3.6847622e-11,1.7920439e-07
325,somersaulting,1.0490821e-07,5.29273e-07
326,spinning poi,1.2205311e-08,3.1797214e-07
327,spray painting,1.5289264e-10,3.542347e-09
328,spraying,2.3212328e-09,2.2649939e-08
329,springboard diving,1.5395479e-08,6.9247434e-08
330,squat,1.9944395e-09,4.434964e-08
331,sticking tongue out,1.2616617e-09,1.6568805e-08
332,stomping grapes,3.5875163e-09,5.485811e-10
333,stretching arm,1.1590479e-08,5.2091403e-10
334,stretching leg,4.7903006e-09,7.026695e-09
335,strumming guitar,7.335216e-10,3.6016603e-09
336,surfing crowd,5.1949434e-10,3.3098129e-09
337,surfing water,1.0946385e-08,9.721029e-06
338,sweeping floor,3.6221908e-09,1.4097756e-07
339,swimming backstroke,1.9820765e-09,6.243479e-08
340,swimming breast stroke,1.6957221e-09,8.8921226e-08
341,swimming butterfly stroke,2.2789859e-09,6.974038e-08
342,swing dancing,4.727377e-11,1.8902655e-08
343,swinging legs,9.778935e-07,2.0161494e-08
