,imagenet_class,original_score,perturbated_score
96,toucan,2.834476e-09,1.4880769e-09
97,drake,2.093216e-08,1.8784057e-09
98,"red-breasted merganser, Mergus serrator",1.7270326e-08,4.544854e-08
99,goose,9.076138e-09,6.6176153e-09
100,"black swan, Cygnus atratus",2.154082e-09,7.0698953e-09
101,tusker,8.572013e-09,1.656104e-09
102,"echidna, spiny anteater, anteater",1.2749158e-09,2.1424364e-11
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",2.1346709e-09,1.3763742e-10
104,"wallaby, brush kangaroo",8.656642e-10,1.914214e-11
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",2.4177249e-11,6.2080857e-12
106,wombat,3.467258e-10,4.3336803e-11
107,jellyfish,3.1831993e-09,1.9273708e-10
108,"sea anemone, anemone",7.142281e-09,7.6027275e-11
109,brain coral,1.124798e-09,7.1668144e-11
110,"flatworm, platyhelminth",1.38936755e-08,1.9339146e-10
111,"nematode, nematode worm, roundworm",1.6917489e-09,3.443414e-11
112,conch,4.2839797e-08,4.720285e-09
113,snail,4.9350994e-09,5.2627636e-10
114,slug,1.4494327e-09,9.539013e-11
115,"sea slug, nudibranch",1.777774e-08,1.5216836e-10
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",2.5712177e-10,3.281576e-11
117,"chambered nautilus, pearly nautilus, nautilus",1.6582563e-08,7.358185e-11
118,"Dungeness crab, Cancer magister",3.0504115e-09,2.0321443e-10
119,"rock crab, Cancer irroratus",3.6850913e-08,2.0830362e-09
120,fiddler crab,1.7614983e-08,1.019532e-08
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",5.0797087e-09,3.106289e-10
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",2.2889448e-09,3.5880718e-10
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1.1442667e-09,2.987487e-11
124,"crayfish, crawfish, crawdad, crawdaddy",1.4774909e-08,4.967123e-10
125,hermit crab,1.1712591e-09,7.124373e-11
126,isopod,1.7832169e-09,9.276139e-11
127,"white stork, Ciconia ciconia",1.5357784e-09,1.5606003e-10
128,"black stork, Ciconia nigra",6.9860157e-10,8.762561e-11
129,spoonbill,1.1750116e-09,7.344275e-11
130,flamingo,5.6138307e-09,2.6799554e-10
131,"little blue heron, Egretta caerulea",3.075662e-09,1.2087664e-10
132,"American egret, great white heron, Egretta albus",1.814529e-08,6.5418906e-09
133,bittern,6.702565e-10,2.6255137e-11
134,crane,1.4021808e-08,6.6259603e-10
135,"limpkin, Aramus pictus",4.2895376e-09,5.982492e-11
136,"European gallinule, Porphyrio porphyrio",2.397347e-10,5.5612025e-11
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",7.3065215e-10,4.727383e-10
138,bustard,8.974551e-10,2.9942816e-11
139,"ruddy turnstone, Arenaria interpres",3.3497763e-08,1.0844932e-09
140,"red-backed sandpiper, dunlin, Erolia alpina",1.7207021e-09,5.3575904e-11
141,"redshank, Tringa totanus",4.9817317e-10,9.1573034e-11
142,dowitcher,3.265442e-10,1.9589727e-11
143,"oystercatcher, oyster catcher",4.627395e-09,6.3047287e-09
144,pelican,1.5541136e-08,1.045804e-08
145,"king penguin, Aptenodytes patagonica",3.213501e-08,2.2328224e-07
146,"albatross, mollymawk",9.17668e-09,2.0745759e-08
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",2.7146973e-07,4.050945e-06
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",1.6530468e-07,9.775927e-06
149,"dugong, Dugong dugon",5.45973e-09,1.1069359e-09
150,sea lion,1.718581e-08,1.2556231e-08
151,Chihuahua,6.106647e-09,5.125979e-10
152,Japanese spaniel,1.0595997e-07,5.780779e-09
153,"Maltese dog, Maltese terrier, Maltese",1.8992177e-08,3.5454257e-09
154,"Pekinese, Pekingese, Peke",7.625353e-08,6.1620513e-09
155,Shih-Tzu,2.2301386e-08,1.3445758e-09
156,Blenheim spaniel,5.883334e-09,2.9296046e-10
157,papillon,5.590465e-08,4.3090567e-09
158,toy terrier,1.1119673e-09,1.535646e-11
