,imagenet_class,original_score,perturbated_score
96,toucan,7.4195823e-09,2.1706771e-10
97,drake,4.792008e-08,1.7466734e-08
98,"red-breasted merganser, Mergus serrator",6.9069532e-09,1.2084941e-09
99,goose,2.3678515e-06,1.1132124e-06
100,"black swan, Cygnus atratus",9.895159e-07,2.5951317e-07
101,tusker,3.416167e-08,2.8793822e-08
102,"echidna, spiny anteater, anteater",7.991628e-10,3.3476597e-09
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",4.167045e-09,2.0885386e-07
104,"wallaby, brush kangaroo",1.5379145e-08,1.9843385e-09
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1.7631697e-09,1.4075415e-09
106,wombat,3.971492e-09,4.6912993e-09
107,jellyfish,2.7507744e-08,7.783383e-08
108,"sea anemone, anemone",6.727255e-09,1.452192e-08
109,brain coral,6.461452e-08,2.029135e-08
110,"flatworm, platyhelminth",1.1296559e-09,1.4733708e-08
111,"nematode, nematode worm, roundworm",4.068272e-09,2.6522976e-08
112,conch,3.3847172e-08,2.1501874e-08
113,snail,1.1885397e-08,2.4709768e-09
114,slug,2.737082e-09,3.4596555e-09
115,"sea slug, nudibranch",1.3593129e-09,9.789278e-10
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",4.477917e-09,1.5580928e-09
117,"chambered nautilus, pearly nautilus, nautilus",1.5031706e-09,1.8562377e-08
118,"Dungeness crab, Cancer magister",1.5138113e-08,4.5464668e-10
119,"rock crab, Cancer irroratus",6.281959e-09,9.070674e-11
120,fiddler crab,3.62699e-10,4.3664915e-11
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",1.0344841e-08,2.7590801e-11
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",3.82017e-09,2.4355948e-11
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",4.087242e-09,7.830962e-11
124,"crayfish, crawfish, crawdad, crawdaddy",2.5041308e-08,8.607888e-10
125,hermit crab,8.743072e-09,1.4766729e-09
126,isopod,1.7609388e-08,4.3446413e-08
127,"white stork, Ciconia ciconia",5.217301e-06,1.15629156e-07
128,"black stork, Ciconia nigra",2.7091968e-08,3.7398928e-10
129,spoonbill,1.3659142e-07,4.0160064e-08
130,flamingo,5.990256e-08,7.732108e-09
131,"little blue heron, Egretta caerulea",7.0026914e-08,9.0248356e-08
132,"American egret, great white heron, Egretta albus",1.650752e-06,2.2012313e-07
133,bittern,4.9728808e-09,7.162125e-10
134,crane,3.9834336e-07,5.783435e-08
135,"limpkin, Aramus pictus",8.172227e-09,9.077481e-10
136,"European gallinule, Porphyrio porphyrio",1.4573407e-08,9.2194097e-10
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",7.6401584e-08,5.202682e-08
138,bustard,2.6865905e-09,1.546676e-08
139,"ruddy turnstone, Arenaria interpres",3.2059553e-08,4.836994e-10
140,"red-backed sandpiper, dunlin, Erolia alpina",2.0692532e-08,1.7746736e-08
141,"redshank, Tringa totanus",1.8338827e-08,1.9225386e-09
142,dowitcher,7.662307e-09,4.320861e-10
143,"oystercatcher, oyster catcher",6.558665e-07,1.443531e-09
144,pelican,5.258915e-07,2.4352921e-06
145,"king penguin, Aptenodytes patagonica",4.452081e-08,3.938512e-07
146,"albatross, mollymawk",1.5586287e-06,4.4401511e-07
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",2.3882316e-07,1.4643496e-06
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",8.198049e-09,1.17627215e-08
